epoch,accuracy
0,0.492500
1,0.488400
2,0.632400
3,0.664800
4,0.685600
5,0.736300
6,0.736600
7,0.757300
8,0.778600
9,0.782800
10,0.790100
11,0.781200
12,0.794800
13,0.802100
14,0.810000
15,0.812000
16,0.818200
17,0.804400
18,0.814000
19,0.809500
20,0.796700
21,0.815100
22,0.820300
23,0.822900
24,0.796500
25,0.813000
26,0.841700
27,0.827900
28,0.834000
29,0.842600
30,0.840400
31,0.833700
32,0.838400
33,0.823700
34,0.838900
35,0.838600
36,0.832400
37,0.842200
38,0.846800
39,0.850300
40,0.842200
41,0.858300
42,0.828200
43,0.831700
44,0.855700
45,0.857900
46,0.841400
47,0.830800
48,0.851900
49,0.844700
50,0.860900
51,0.841000
52,0.831700
53,0.831700
54,0.845300
55,0.855400
56,0.843800
57,0.837100
58,0.845400
59,0.845900
60,0.810900
61,0.848700
62,0.839700
63,0.861600
64,0.844800
65,0.841100
66,0.857200
67,0.861100
68,0.838500
69,0.842300
70,0.864100
71,0.851400
72,0.831700
73,0.868000
74,0.850700
75,0.844900
76,0.864900
77,0.862600
78,0.855300
79,0.843600
80,0.842800
81,0.864000
82,0.856000
83,0.831800
84,0.857600
85,0.860800
86,0.852700
87,0.859500
88,0.851000
89,0.819000
90,0.862500
91,0.849700
92,0.861200
93,0.859200
94,0.859900
95,0.842000
96,0.866500
97,0.838800
98,0.821100
99,0.858700
100,0.832500
101,0.853400
102,0.852300
103,0.867200
104,0.843300
105,0.840300
106,0.843000
107,0.850200
108,0.855200
109,0.859900
110,0.847300
111,0.856800
112,0.861600
113,0.866200
114,0.865900
115,0.852700
116,0.867800
117,0.852400
118,0.849200
119,0.847600
120,0.854600
121,0.845800
122,0.831900
123,0.852100
124,0.862700
125,0.848800
126,0.869500
127,0.860800
128,0.852400
129,0.867400
130,0.831000
131,0.859200
132,0.857600
133,0.859200
134,0.851300
135,0.851900
136,0.851700
137,0.867700
138,0.834500
139,0.853000
140,0.859400
141,0.848100
142,0.851800
143,0.845300
144,0.866600
145,0.843300
146,0.848200
147,0.861600
148,0.855200
149,0.861400
150,0.868200
151,0.905500
152,0.909300
153,0.911400
154,0.914400
155,0.910700
156,0.913300
157,0.913200
158,0.912200
159,0.914500
160,0.915900
161,0.911600
162,0.915200
163,0.912600
164,0.911400
165,0.913400
166,0.914800
167,0.912100
168,0.913400
169,0.914500
170,0.913600
171,0.914900
172,0.915700
173,0.913700
174,0.911200
175,0.915800
176,0.911400
177,0.910100
178,0.912900
179,0.911800
180,0.911200
181,0.912200
182,0.914500
183,0.909800
184,0.912800
185,0.911500
186,0.912600
187,0.913400
188,0.913800
189,0.910500
190,0.912000
191,0.909100
192,0.912500
193,0.914200
194,0.912300
195,0.911700
196,0.913600
197,0.910400
198,0.912300
199,0.912100
200,0.914600
201,0.913800
202,0.912200
203,0.917300
204,0.913000
205,0.911700
206,0.911300
207,0.913700
208,0.912500
209,0.912100
210,0.909700
211,0.911400
212,0.914800
213,0.910700
214,0.912100
215,0.908000
216,0.909600
217,0.910900
218,0.914100
219,0.906500
220,0.912900
221,0.907900
222,0.914500
223,0.910800
224,0.910600
225,0.902100
226,0.904600
227,0.905500
228,0.905900
229,0.905900
230,0.903700
231,0.908500
232,0.904100
233,0.909700
234,0.905700
235,0.901100
236,0.902900
